Sex,AgeGroup,Color1,Color2,Color3,Flower1,Flower2,Flower3
Feminin,46+,Violet,Roz,Rosu,Hyacinth,Gerbera,Peony
Feminin,31 - 45,Auriu,Roz,Rosu,Dahlia,Peony,Chrysanthemum
Feminin,46+,Bej,Roz,Rosu,Dahlia,Crocus,Gerbera
Feminin,31 - 45,Bej,Violet,Auriu,Chrysanthemum,Crocus,Dahlia
Feminin,31 - 45,Auriu,Bej,Rosu,Peony,Gerbera,Hyacinth
Feminin,31 - 45,Bej,Auriu,Rosu,Chrysanthemum,Dahlia,Crocus
Feminin,46+,Auriu,Rosu,Roz,Dahlia,Peony,Hyacinth
Feminin,31 - 45,Rosu,Bej,Roz,Peony,Crocus,Chrysanthemum
Feminin,46+,Bej,Roz,Violet,Crocus,Dahlia,Chrysanthemum
Feminin,46+,Rosu,Violet,Auriu,Peony,Chrysanthemum,Dahlia
Feminin,46+,Violet,Rosu,Bej,Chrysanthemum,Hyacinth,Peony
Feminin,46+,Auriu,Rosu,Violet,Crocus,Hyacinth,Dahlia
Feminin,31 - 45,Rosu,Bej,Auriu,Chrysanthemum,Dahlia,Crocus
Feminin,31 - 45,Bej,Violet,Rosu,Peony,Gerbera,Chrysanthemum
Feminin,31 - 45,Roz,Auriu,Bej,Hyacinth,Chrysanthemum,Crocus
Feminin,31 - 45,Rosu,Auriu,Roz,Chrysanthemum,Gerbera,Peony
Feminin,46+,Auriu,Roz,Rosu,Crocus,Gerbera,Hyacinth
Feminin,46+,Roz,Auriu,Bej,Gerbera,Crocus,Chrysanthemum
Feminin,31 - 45,Auriu,Roz,Rosu,Crocus,Chrysanthemum,Hyacinth
Feminin,31 - 45,Bej,Roz,Violet,Crocus,Peony,Hyacinth
Feminin,46+,Bej,Rosu,Violet,Crocus,Gerbera,Hyacinth
Feminin,46+,Roz,Bej,Auriu,Crocus,Peony,Hyacinth
Feminin,46+,Roz,Auriu,Rosu,Hyacinth,Dahlia,Crocus
Feminin,31 - 45,Bej,Rosu,Auriu,Peony,Dahlia,Chrysanthemum
Feminin,31 - 45,Auriu,Rosu,Violet,Dahlia,Crocus,Gerbera
Feminin,46+,Bej,Roz,Rosu,Chrysanthemum,Peony,Gerbera
Feminin,46+,Bej,Rosu,Violet,Dahlia,Hyacinth,Crocus
Feminin,46+,Auriu,Roz,Violet,Crocus,Hyacinth,Chrysanthemum
Feminin,46+,Violet,Roz,Bej,Gerbera,Hyacinth,Crocus
Feminin,31 - 45,Auriu,Roz,Violet,Chrysanthemum,Gerbera,Peony
Feminin,31 - 45,Violet,Rosu,Bej,Gerbera,Crocus,Dahlia
Feminin,46+,Rosu,Violet,Roz,Hyacinth,Gerbera,Dahlia
Feminin,31 - 45,Roz,Violet,Bej,Gerbera,Peony,Dahlia
Feminin,31 - 45,Violet,Auriu,Rosu,Gerbera,Crocus,Hyacinth
Feminin,46+,Roz,Rosu,Violet,Chrysanthemum,Gerbera,Peony
Feminin,46+,Roz,Bej,Violet,Crocus,Peony,Dahlia
Feminin,31 - 45,Rosu,Auriu,Roz,Chrysanthemum,Peony,Hyacinth
Feminin,31 - 45,Auriu,Rosu,Bej,Gerbera,Crocus,Chrysanthemum
Feminin,31 - 45,Auriu,Rosu,Roz,Chrysanthemum,Crocus,Gerbera
Feminin,46+,Rosu,Violet,Roz,Dahlia,Crocus,Chrysanthemum
Feminin,46+,Auriu,Bej,Rosu,Crocus,Hyacinth,Chrysanthemum
Feminin,31 - 45,Rosu,Auriu,Bej,Dahlia,Hyacinth,Crocus
Feminin,31 - 45,Bej,Auriu,Violet,Gerbera,Peony,Hyacinth
Feminin,46+,Bej,Auriu,Rosu,Crocus,Dahlia,Hyacinth
Feminin,31 - 45,Violet,Bej,Roz,Crocus,Chrysanthemum,Dahlia
Feminin,46+,Bej,Roz,Violet,Peony,Dahlia,Gerbera
Feminin,31 - 45,Rosu,Roz,Bej,Hyacinth,Gerbera,Chrysanthemum
Feminin,31 - 45,Auriu,Rosu,Bej,Hyacinth,Crocus,Chrysanthemum
Feminin,31 - 45,Auriu,Roz,Violet,Dahlia,Peony,Crocus
Feminin,31 - 45,Bej,Roz,Auriu,Peony,Crocus,Gerbera
Feminin,46+,Roz,Violet,Bej,Chrysanthemum,Peony,Crocus
Feminin,46+,Violet,Bej,Auriu,Peony,Crocus,Gerbera
Feminin,46+,Violet,Roz,Auriu,Dahlia,Crocus,Hyacinth
Feminin,31 - 45,Bej,Roz,Auriu,Gerbera,Peony,Hyacinth
Feminin,31 - 45,Violet,Auriu,Bej,Chrysanthemum,Hyacinth,Peony
Feminin,46+,Auriu,Bej,Rosu,Gerbera,Dahlia,Peony
Feminin,31 - 45,Violet,Bej,Auriu,Peony,Gerbera,Chrysanthemum
Feminin,31 - 45,Bej,Roz,Auriu,Hyacinth,Chrysanthemum,Peony
Feminin,31 - 45,Bej,Violet,Rosu,Peony,Hyacinth,Crocus
Feminin,31 - 45,Bej,Violet,Roz,Peony,Crocus,Hyacinth
Feminin,31 - 45,Rosu,Roz,Auriu,Chrysanthemum,Crocus,Peony
Feminin,31 - 45,Rosu,Auriu,Violet,Peony,Crocus,Chrysanthemum
Feminin,46+,Bej,Violet,Auriu,Gerbera,Dahlia,Crocus
Feminin,31 - 45,Rosu,Roz,Violet,Peony,Crocus,Chrysanthemum
Feminin,31 - 45,Roz,Violet,Bej,Chrysanthemum,Gerbera,Dahlia
Feminin,31 - 45,Rosu,Bej,Roz,Peony,Crocus,Hyacinth
Feminin,31 - 45,Rosu,Violet,Auriu,Crocus,Peony,Chrysanthemum
Feminin,31 - 45,Auriu,Violet,Bej,Crocus,Gerbera,Hyacinth
Feminin,31 - 45,Violet,Rosu,Auriu,Chrysanthemum,Peony,Dahlia
Feminin,46+,Bej,Roz,Auriu,Dahlia,Peony,Crocus
Feminin,46+,Bej,Auriu,Violet,Crocus,Dahlia,Hyacinth
Feminin,31 - 45,Bej,Roz,Auriu,Gerbera,Hyacinth,Dahlia
Feminin,46+,Violet,Bej,Roz,Hyacinth,Chrysanthemum,Dahlia
Feminin,31 - 45,Violet,Auriu,Bej,Chrysanthemum,Hyacinth,Crocus
Feminin,46+,Rosu,Auriu,Violet,Peony,Crocus,Gerbera
Feminin,46+,Violet,Bej,Auriu,Gerbera,Peony,Chrysanthemum
Feminin,46+,Roz,Rosu,Bej,Peony,Chrysanthemum,Hyacinth
Feminin,46+,Rosu,Roz,Violet,Hyacinth,Gerbera,Chrysanthemum
Feminin,31 - 45,Rosu,Auriu,Bej,Peony,Hyacinth,Crocus
Feminin,31 - 45,Rosu,Bej,Roz,Chrysanthemum,Peony,Dahlia
Feminin,46+,Violet,Auriu,Bej,Gerbera,Dahlia,Chrysanthemum
Feminin,31 - 45,Bej,Auriu,Roz,Crocus,Gerbera,Chrysanthemum
Feminin,31 - 45,Bej,Roz,Auriu,Dahlia,Chrysanthemum,Hyacinth
Feminin,46+,Violet,Auriu,Roz,Peony,Gerbera,Crocus
Feminin,46+,Roz,Bej,Violet,Chrysanthemum,Hyacinth,Crocus
Feminin,31 - 45,Rosu,Violet,Auriu,Peony,Crocus,Hyacinth
Feminin,31 - 45,Violet,Auriu,Roz,Dahlia,Peony,Hyacinth
Feminin,31 - 45,Auriu,Roz,Rosu,Dahlia,Gerbera,Peony
Feminin,31 - 45,Bej,Violet,Rosu,Peony,Gerbera,Hyacinth
Feminin,31 - 45,Bej,Roz,Auriu,Crocus,Peony,Dahlia
Feminin,46+,Violet,Rosu,Auriu,Gerbera,Dahlia,Crocus
Feminin,46+,Auriu,Bej,Roz,Gerbera,Crocus,Hyacinth
Feminin,46+,Auriu,Bej,Roz,Peony,Dahlia,Crocus
Feminin,31 - 45,Violet,Rosu,Auriu,Crocus,Chrysanthemum,Dahlia
Feminin,31 - 45,Auriu,Bej,Roz,Peony,Gerbera,Dahlia
Feminin,31 - 45,Rosu,Bej,Violet,Dahlia,Peony,Crocus
Feminin,46+,Bej,Auriu,Roz,Crocus,Peony,Dahlia
Feminin,31 - 45,Auriu,Violet,Rosu,Crocus,Dahlia,Hyacinth
Feminin,31 - 45,Rosu,Auriu,Violet,Chrysanthemum,Crocus,Hyacinth
Feminin,46+,Rosu,Violet,Roz,Crocus,Dahlia,Peony
Feminin,46+,Auriu,Violet,Rosu,Chrysanthemum,Crocus,Hyacinth
Feminin,46+,Auriu,Roz,Bej,Peony,Hyacinth,Dahlia
Feminin,46+,Rosu,Bej,Roz,Peony,Hyacinth,Chrysanthemum
Feminin,46+,Auriu,Violet,Roz,Gerbera,Peony,Dahlia
Feminin,31 - 45,Violet,Bej,Auriu,Hyacinth,Dahlia,Chrysanthemum
Feminin,31 - 45,Roz,Bej,Rosu,Gerbera,Chrysanthemum,Peony
Feminin,46+,Bej,Violet,Roz,Crocus,Gerbera,Chrysanthemum
Feminin,31 - 45,Bej,Auriu,Rosu,Hyacinth,Peony,Gerbera
Feminin,31 - 45,Roz,Rosu,Auriu,Dahlia,Peony,Hyacinth
Feminin,31 - 45,Auriu,Violet,Rosu,Chrysanthemum,Gerbera,Dahlia
Feminin,46+,Auriu,Bej,Rosu,Dahlia,Gerbera,Chrysanthemum
Feminin,31 - 45,Bej,Violet,Roz,Dahlia,Hyacinth,Peony
Feminin,46+,Auriu,Roz,Rosu,Dahlia,Crocus,Chrysanthemum
Feminin,46+,Roz,Violet,Auriu,Gerbera,Chrysanthemum,Crocus
Feminin,31 - 45,Bej,Violet,Rosu,Crocus,Peony,Dahlia
Feminin,46+,Auriu,Bej,Roz,Peony,Crocus,Chrysanthemum
Feminin,31 - 45,Violet,Bej,Roz,Hyacinth,Gerbera,Crocus
Feminin,46+,Roz,Auriu,Rosu,Dahlia,Hyacinth,Crocus
Feminin,31 - 45,Rosu,Auriu,Bej,Chrysanthemum,Hyacinth,Crocus
Feminin,31 - 45,Bej,Rosu,Auriu,Peony,Hyacinth,Dahlia
Feminin,31 - 45,Bej,Rosu,Roz,Dahlia,Gerbera,Hyacinth
Feminin,31 - 45,Rosu,Roz,Violet,Dahlia,Hyacinth,Gerbera
Feminin,46+,Rosu,Bej,Roz,Crocus,Dahlia,Gerbera
Feminin,46+,Roz,Rosu,Violet,Gerbera,Peony,Dahlia
Feminin,31 - 45,Bej,Auriu,Rosu,Hyacinth,Dahlia,Gerbera
Feminin,31 - 45,Auriu,Rosu,Violet,Peony,Hyacinth,Chrysanthemum
Feminin,46+,Rosu,Auriu,Violet,Chrysanthemum,Peony,Hyacinth
Feminin,31 - 45,Rosu,Roz,Bej,Dahlia,Gerbera,Chrysanthemum
Feminin,31 - 45,Violet,Rosu,Auriu,Peony,Gerbera,Dahlia
Feminin,46+,Roz,Auriu,Bej,Dahlia,Peony,Crocus
Feminin,46+,Rosu,Roz,Bej,Dahlia,Gerbera,Hyacinth
Feminin,31 - 45,Roz,Rosu,Violet,Chrysanthemum,Gerbera,Dahlia
Feminin,46+,Roz,Violet,Rosu,Hyacinth,Dahlia,Peony
Feminin,46+,Bej,Rosu,Violet,Chrysanthemum,Gerbera,Peony
Feminin,31 - 45,Rosu,Auriu,Violet,Crocus,Dahlia,Peony
Feminin,31 - 45,Rosu,Auriu,Roz,Peony,Chrysanthemum,Crocus
Feminin,31 - 45,Auriu,Bej,Rosu,Dahlia,Chrysanthemum,Crocus
Feminin,31 - 45,Roz,Rosu,Auriu,Peony,Crocus,Dahlia
Feminin,31 - 45,Auriu,Bej,Violet,Hyacinth,Peony,Chrysanthemum
Feminin,31 - 45,Rosu,Roz,Violet,Crocus,Peony,Hyacinth
Feminin,46+,Rosu,Auriu,Violet,Gerbera,Chrysanthemum,Crocus
Feminin,31 - 45,Rosu,Auriu,Violet,Gerbera,Crocus,Peony
Feminin,46+,Auriu,Roz,Rosu,Crocus,Dahlia,Hyacinth
Feminin,31 - 45,Auriu,Roz,Violet,Chrysanthemum,Peony,Hyacinth
Feminin,31 - 45,Rosu,Auriu,Roz,Hyacinth,Peony,Gerbera
Feminin,46+,Roz,Rosu,Bej,Crocus,Hyacinth,Peony
Feminin,31 - 45,Auriu,Roz,Bej,Chrysanthemum,Peony,Dahlia
Feminin,31 - 45,Auriu,Roz,Rosu,Crocus,Gerbera,Dahlia
Feminin,46+,Auriu,Roz,Rosu,Peony,Dahlia,Gerbera
Feminin,46+,Roz,Bej,Auriu,Dahlia,Chrysanthemum,Crocus
Feminin,31 - 45,Auriu,Roz,Bej,Peony,Dahlia,Gerbera
Feminin,46+,Rosu,Roz,Bej,Crocus,Dahlia,Gerbera
Feminin,31 - 45,Violet,Roz,Rosu,Crocus,Chrysanthemum,Gerbera
Feminin,46+,Rosu,Roz,Bej,Chrysanthemum,Crocus,Gerbera
Feminin,31 - 45,Bej,Roz,Violet,Dahlia,Chrysanthemum,Hyacinth
Feminin,46+,Roz,Violet,Bej,Chrysanthemum,Peony,Gerbera
Feminin,46+,Roz,Bej,Auriu,Chrysanthemum,Gerbera,Hyacinth
Feminin,46+,Roz,Rosu,Bej,Hyacinth,Peony,Chrysanthemum
Feminin,31 - 45,Roz,Violet,Auriu,Crocus,Dahlia,Gerbera
Feminin,31 - 45,Bej,Rosu,Roz,Peony,Hyacinth,Chrysanthemum
Feminin,46+,Bej,Auriu,Roz,Peony,Crocus,Gerbera
Feminin,46+,Bej,Roz,Auriu,Hyacinth,Gerbera,Dahlia
Feminin,46+,Auriu,Roz,Rosu,Crocus,Gerbera,Hyacinth
Feminin,46+,Rosu,Roz,Bej,Gerbera,Dahlia,Peony
Feminin,46+,Bej,Auriu,Rosu,Peony,Chrysanthemum,Gerbera
Feminin,31 - 45,Auriu,Roz,Bej,Hyacinth,Dahlia,Peony
Feminin,46+,Auriu,Roz,Violet,Hyacinth,Chrysanthemum,Peony
Feminin,31 - 45,Roz,Auriu,Bej,Peony,Gerbera,Chrysanthemum
Feminin,46+,Violet,Bej,Roz,Gerbera,Chrysanthemum,Crocus
Feminin,31 - 45,Auriu,Bej,Violet,Hyacinth,Peony,Gerbera
Feminin,46+,Rosu,Roz,Violet,Chrysanthemum,Hyacinth,Crocus
Feminin,31 - 45,Bej,Roz,Rosu,Gerbera,Peony,Dahlia
Feminin,46+,Rosu,Bej,Violet,Dahlia,Hyacinth,Crocus
Feminin,31 - 45,Violet,Bej,Auriu,Peony,Hyacinth,Gerbera
Feminin,46+,Bej,Roz,Rosu,Chrysanthemum,Peony,Gerbera
Feminin,31 - 45,Auriu,Violet,Roz,Chrysanthemum,Gerbera,Hyacinth
Feminin,31 - 45,Violet,Roz,Auriu,Peony,Dahlia,Crocus
Feminin,46+,Auriu,Violet,Rosu,Gerbera,Crocus,Hyacinth
Feminin,31 - 45,Roz,Rosu,Auriu,Dahlia,Peony,Gerbera
Feminin,31 - 45,Roz,Auriu,Bej,Hyacinth,Chrysanthemum,Peony
Feminin,46+,Violet,Bej,Auriu,Chrysanthemum,Crocus,Peony
Feminin,46+,Violet,Roz,Bej,Chrysanthemum,Dahlia,Peony
Feminin,46+,Roz,Auriu,Rosu,Crocus,Chrysanthemum,Hyacinth
Feminin,31 - 45,Auriu,Violet,Bej,Dahlia,Gerbera,Hyacinth
Feminin,31 - 45,Roz,Violet,Rosu,Dahlia,Chrysanthemum,Crocus
Feminin,46+,Roz,Auriu,Rosu,Crocus,Chrysanthemum,Peony
Feminin,46+,Violet,Auriu,Bej,Chrysanthemum,Gerbera,Crocus
Feminin,31 - 45,Auriu,Violet,Bej,Chrysanthemum,Crocus,Dahlia
Feminin,46+,Rosu,Bej,Violet,Peony,Chrysanthemum,Crocus
Feminin,31 - 45,Auriu,Roz,Bej,Peony,Gerbera,Hyacinth
Feminin,46+,Auriu,Violet,Bej,Crocus,Peony,Dahlia
Feminin,46+,Auriu,Bej,Violet,Hyacinth,Dahlia,Gerbera
Feminin,31 - 45,Auriu,Rosu,Roz,Chrysanthemum,Gerbera,Crocus
Feminin,31 - 45,Auriu,Bej,Roz,Chrysanthemum,Gerbera,Peony
Feminin,46+,Bej,Violet,Auriu,Chrysanthemum,Crocus,Peony
Feminin,46+,Rosu,Violet,Bej,Chrysanthemum,Dahlia,Crocus
Feminin,31 - 45,Auriu,Rosu,Roz,Chrysanthemum,Hyacinth,Gerbera
Feminin,46+,Auriu,Roz,Rosu,Gerbera,Chrysanthemum,Hyacinth
Feminin,46+,Auriu,Rosu,Violet,Crocus,Dahlia,Chrysanthemum
Feminin,31 - 45,Violet,Roz,Rosu,Chrysanthemum,Crocus,Hyacinth
Feminin,46+,Roz,Rosu,Violet,Crocus,Chrysanthemum,Dahlia
Feminin,46+,Auriu,Bej,Roz,Dahlia,Gerbera,Peony
Feminin,46+,Auriu,Rosu,Violet,Chrysanthemum,Dahlia,Crocus
Feminin,46+,Roz,Auriu,Bej,Dahlia,Crocus,Chrysanthemum
Feminin,31 - 45,Bej,Auriu,Violet,Gerbera,Peony,Hyacinth
Feminin,46+,Auriu,Roz,Violet,Chrysanthemum,Gerbera,Peony
Feminin,31 - 45,Rosu,Auriu,Violet,Crocus,Gerbera,Chrysanthemum
Feminin,46+,Auriu,Violet,Bej,Gerbera,Crocus,Dahlia
Feminin,46+,Rosu,Bej,Violet,Dahlia,Gerbera,Chrysanthemum
Feminin,46+,Bej,Violet,Rosu,Peony,Chrysanthemum,Hyacinth
Feminin,46+,Roz,Bej,Violet,Hyacinth,Dahlia,Crocus
Feminin,31 - 45,Rosu,Violet,Auriu,Chrysanthemum,Gerbera,Dahlia
Feminin,31 - 45,Bej,Rosu,Roz,Hyacinth,Chrysanthemum,Dahlia
Feminin,31 - 45,Rosu,Violet,Roz,Crocus,Chrysanthemum,Peony
Feminin,46+,Bej,Rosu,Roz,Crocus,Peony,Gerbera
Feminin,46+,Bej,Auriu,Roz,Chrysanthemum,Dahlia,Hyacinth
Feminin,46+,Rosu,Violet,Auriu,Crocus,Hyacinth,Peony
Feminin,31 - 45,Roz,Violet,Bej,Gerbera,Crocus,Chrysanthemum
Feminin,46+,Violet,Roz,Rosu,Hyacinth,Dahlia,Crocus
Feminin,31 - 45,Rosu,Roz,Violet,Dahlia,Gerbera,Crocus
Feminin,46+,Violet,Rosu,Auriu,Peony,Gerbera,Hyacinth
Feminin,46+,Roz,Bej,Violet,Gerbera,Chrysanthemum,Hyacinth
Feminin,46+,Bej,Violet,Roz,Gerbera,Peony,Chrysanthemum
Feminin,46+,Auriu,Violet,Roz,Dahlia,Crocus,Chrysanthemum
Feminin,31 - 45,Auriu,Rosu,Violet,Hyacinth,Dahlia,Chrysanthemum
Feminin,31 - 45,Rosu,Roz,Violet,Dahlia,Crocus,Chrysanthemum
Feminin,31 - 45,Auriu,Bej,Roz,Gerbera,Chrysanthemum,Crocus
Feminin,46+,Rosu,Roz,Violet,Dahlia,Peony,Hyacinth
Feminin,46+,Rosu,Roz,Bej,Chrysanthemum,Gerbera,Dahlia
Feminin,31 - 45,Violet,Rosu,Roz,Gerbera,Peony,Crocus
Feminin,46+,Bej,Rosu,Roz,Crocus,Dahlia,Peony
Feminin,31 - 45,Violet,Roz,Rosu,Peony,Chrysanthemum,Gerbera
Feminin,31 - 45,Auriu,Roz,Rosu,Hyacinth,Gerbera,Peony
Feminin,31 - 45,Rosu,Bej,Roz,Dahlia,Gerbera,Crocus
Feminin,31 - 45,Violet,Roz,Rosu,Hyacinth,Dahlia,Gerbera
Feminin,31 - 45,Rosu,Auriu,Violet,Crocus,Chrysanthemum,Dahlia
Feminin,46+,Rosu,Bej,Violet,Chrysanthemum,Dahlia,Gerbera
Feminin,46+,Rosu,Violet,Roz,Peony,Gerbera,Hyacinth
Feminin,31 - 45,Roz,Auriu,Rosu,Gerbera,Hyacinth,Crocus
Feminin,31 - 45,Bej,Rosu,Auriu,Crocus,Gerbera,Chrysanthemum
Feminin,46+,Violet,Roz,Rosu,Gerbera,Peony,Hyacinth
Feminin,46+,Roz,Bej,Auriu,Dahlia,Peony,Crocus
Feminin,31 - 45,Violet,Rosu,Auriu,Peony,Gerbera,Chrysanthemum
Feminin,46+,Rosu,Violet,Roz,Dahlia,Peony,Gerbera
Feminin,31 - 45,Rosu,Bej,Roz,Gerbera,Crocus,Hyacinth
Feminin,31 - 45,Rosu,Roz,Bej,Hyacinth,Gerbera,Chrysanthemum
Feminin,31 - 45,Violet,Bej,Rosu,Crocus,Peony,Chrysanthemum
Feminin,46+,Bej,Roz,Rosu,Gerbera,Crocus,Dahlia
Feminin,46+,Roz,Bej,Violet,Crocus,Gerbera,Peony
Feminin,31 - 45,Auriu,Bej,Violet,Crocus,Peony,Hyacinth
Feminin,31 - 45,Violet,Bej,Auriu,Dahlia,Crocus,Hyacinth
Feminin,46+,Bej,Roz,Auriu,Hyacinth,Gerbera,Chrysanthemum
Feminin,31 - 45,Violet,Auriu,Bej,Dahlia,Gerbera,Crocus
Feminin,31 - 45,Bej,Roz,Rosu,Dahlia,Chrysanthemum,Hyacinth
Feminin,46+,Bej,Roz,Violet,Hyacinth,Peony,Chrysanthemum
Feminin,31 - 45,Auriu,Bej,Roz,Gerbera,Chrysanthemum,Peony
Feminin,31 - 45,Roz,Rosu,Violet,Gerbera,Chrysanthemum,Dahlia
Feminin,46+,Rosu,Violet,Bej,Peony,Crocus,Dahlia
Feminin,31 - 45,Auriu,Violet,Bej,Dahlia,Crocus,Hyacinth
Feminin,31 - 45,Violet,Bej,Auriu,Gerbera,Crocus,Peony
Feminin,46+,Bej,Violet,Roz,Dahlia,Crocus,Chrysanthemum
Feminin,46+,Violet,Auriu,Bej,Crocus,Dahlia,Hyacinth
Feminin,31 - 45,Bej,Roz,Auriu,Hyacinth,Gerbera,Crocus
Feminin,46+,Violet,Bej,Auriu,Hyacinth,Peony,Gerbera
Feminin,46+,Bej,Rosu,Auriu,Gerbera,Crocus,Peony
Feminin,31 - 45,Auriu,Roz,Bej,Peony,Hyacinth,Crocus
Feminin,46+,Violet,Auriu,Rosu,Hyacinth,Crocus,Chrysanthemum
Feminin,31 - 45,Rosu,Roz,Bej,Peony,Crocus,Gerbera
Feminin,46+,Roz,Rosu,Bej,Gerbera,Chrysanthemum,Crocus
Feminin,31 - 45,Auriu,Bej,Rosu,Gerbera,Peony,Dahlia
Feminin,46+,Violet,Roz,Bej,Crocus,Dahlia,Peony
Feminin,46+,Auriu,Violet,Roz,Chrysanthemum,Gerbera,Crocus
Feminin,31 - 45,Rosu,Bej,Violet,Chrysanthemum,Crocus,Hyacinth
Feminin,46+,Rosu,Auriu,Roz,Hyacinth,Gerbera,Dahlia
Feminin,31 - 45,Violet,Rosu,Roz,Hyacinth,Crocus,Gerbera
Feminin,46+,Violet,Rosu,Auriu,Chrysanthemum,Gerbera,Dahlia
Feminin,31 - 45,Roz,Violet,Auriu,Dahlia,Peony,Chrysanthemum
Feminin,31 - 45,Rosu,Violet,Roz,Peony,Dahlia,Hyacinth
Feminin,46+,Roz,Rosu,Bej,Hyacinth,Chrysanthemum,Gerbera
Feminin,31 - 45,Rosu,Auriu,Roz,Chrysanthemum,Dahlia,Gerbera
Feminin,31 - 45,Bej,Rosu,Violet,Peony,Gerbera,Chrysanthemum
Feminin,46+,Rosu,Violet,Auriu,Peony,Dahlia,Chrysanthemum
Feminin,31 - 45,Violet,Rosu,Bej,Crocus,Gerbera,Hyacinth
Feminin,31 - 45,Bej,Auriu,Violet,Chrysanthemum,Peony,Dahlia
Feminin,46+,Bej,Rosu,Violet,Gerbera,Hyacinth,Crocus
Feminin,46+,Roz,Bej,Auriu,Gerbera,Peony,Dahlia
Feminin,46+,Auriu,Rosu,Bej,Chrysanthemum,Gerbera,Peony
Feminin,31 - 45,Violet,Roz,Bej,Peony,Gerbera,Crocus
Feminin,46+,Bej,Rosu,Auriu,Chrysanthemum,Peony,Hyacinth
Feminin,46+,Rosu,Violet,Bej,Dahlia,Gerbera,Hyacinth
Feminin,46+,Roz,Rosu,Bej,Crocus,Chrysanthemum,Dahlia
Feminin,46+,Roz,Auriu,Bej,Hyacinth,Dahlia,Chrysanthemum
Feminin,31 - 45,Violet,Auriu,Roz,Peony,Dahlia,Hyacinth
Feminin,46+,Violet,Rosu,Bej,Chrysanthemum,Crocus,Gerbera
Feminin,31 - 45,Rosu,Violet,Roz,Chrysanthemum,Crocus,Hyacinth
Feminin,31 - 45,Rosu,Violet,Roz,Dahlia,Gerbera,Crocus
Feminin,46+,Rosu,Bej,Violet,Chrysanthemum,Peony,Hyacinth
Feminin,46+,Roz,Auriu,Bej,Hyacinth,Peony,Dahlia
Feminin,31 - 45,Roz,Bej,Auriu,Chrysanthemum,Peony,Hyacinth
Feminin,31 - 45,Roz,Bej,Auriu,Crocus,Peony,Chrysanthemum
Feminin,46+,Violet,Rosu,Roz,Crocus,Dahlia,Peony
Feminin,46+,Violet,Bej,Roz,Peony,Dahlia,Hyacinth
Feminin,31 - 45,Rosu,Bej,Violet,Dahlia,Crocus,Gerbera
Feminin,31 - 45,Bej,Roz,Auriu,Peony,Hyacinth,Chrysanthemum
Feminin,46+,Roz,Violet,Auriu,Gerbera,Dahlia,Peony
Feminin,46+,Rosu,Auriu,Bej,Hyacinth,Crocus,Dahlia
Feminin,31 - 45,Bej,Rosu,Violet,Peony,Chrysanthemum,Crocus
Feminin,46+,Auriu,Roz,Rosu,Hyacinth,Crocus,Chrysanthemum
Feminin,46+,Rosu,Roz,Bej,Chrysanthemum,Dahlia,Peony
Feminin,31 - 45,Roz,Rosu,Violet,Peony,Gerbera,Crocus
Feminin,46+,Violet,Bej,Auriu,Crocus,Hyacinth,Dahlia
Feminin,46+,Violet,Rosu,Bej,Hyacinth,Dahlia,Peony
Feminin,31 - 45,Roz,Auriu,Bej,Dahlia,Hyacinth,Gerbera
Feminin,31 - 45,Roz,Bej,Auriu,Chrysanthemum,Dahlia,Peony
Feminin,46+,Roz,Bej,Auriu,Hyacinth,Dahlia,Gerbera
Feminin,31 - 45,Auriu,Violet,Rosu,Hyacinth,Chrysanthemum,Crocus
Feminin,46+,Bej,Auriu,Violet,Chrysanthemum,Peony,Dahlia
Feminin,31 - 45,Auriu,Rosu,Violet,Hyacinth,Dahlia,Crocus
Feminin,46+,Auriu,Violet,Rosu,Hyacinth,Peony,Gerbera
Feminin,46+,Rosu,Auriu,Bej,Dahlia,Peony,Chrysanthemum
Feminin,31 - 45,Rosu,Roz,Violet,Chrysanthemum,Gerbera,Peony
Feminin,31 - 45,Roz,Rosu,Bej,Hyacinth,Chrysanthemum,Crocus
Feminin,46+,Roz,Bej,Auriu,Hyacinth,Gerbera,Peony
Feminin,46+,Rosu,Roz,Bej,Chrysanthemum,Crocus,Hyacinth
Feminin,46+,Roz,Rosu,Violet,Gerbera,Peony,Hyacinth
Feminin,46+,Roz,Rosu,Bej,Chrysanthemum,Hyacinth,Crocus
Feminin,31 - 45,Auriu,Rosu,Roz,Crocus,Hyacinth,Chrysanthemum
Feminin,46+,Violet,Bej,Auriu,Peony,Hyacinth,Dahlia
Feminin,31 - 45,Violet,Rosu,Bej,Hyacinth,Gerbera,Dahlia
Feminin,31 - 45,Auriu,Violet,Rosu,Gerbera,Peony,Chrysanthemum
Feminin,31 - 45,Bej,Violet,Auriu,Dahlia,Peony,Crocus
Feminin,46+,Violet,Bej,Roz,Chrysanthemum,Dahlia,Hyacinth
Feminin,31 - 45,Auriu,Violet,Rosu,Gerbera,Chrysanthemum,Hyacinth
Feminin,31 - 45,Roz,Violet,Auriu,Hyacinth,Crocus,Dahlia
Feminin,31 - 45,Violet,Roz,Auriu,Chrysanthemum,Peony,Hyacinth
Feminin,31 - 45,Auriu,Violet,Roz,Peony,Chrysanthemum,Gerbera
Feminin,46+,Rosu,Violet,Roz,Peony,Dahlia,Crocus
Feminin,31 - 45,Auriu,Violet,Roz,Chrysanthemum,Dahlia,Hyacinth
